firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name1,lastname1,November,26,98,BS Legal Management,+639183026210,Female
name2,lastname2,May,26,01,BS Management,+639272126276,Female
name3,lastname3,May,16,97,BS Communications Technology Management,+639182537017,Female
name4,lastname4,December,9,97,BS Information Technology Entrepreneurship,+639187144360,Male
name5,lastname5,September,5,97,BS Communications Technology Management,+639274621674,Female
name6,lastname6,March,2,99,BS Management,+639186295268,Female
name7,lastname7,November,10,98,BS Legal Management,+639173697388,Female
name8,lastname8,August,28,99,BS Management Engineering,+639172406000,Male
name9,lastname9,July,10,97,BS Management Engineering,+639182265748,Male
name10,lastname10,September,14,01,BS Communications Technology Management,+639183421717,Female
name11,lastname11,December,8,98,BS Legal Management,+639277081308,Male
name12,lastname12,May,4,97,BS Management Engineering,+639277475497,Male
name13,lastname13,January,28,99,BS Communications Technology Management,+639179594490,Female
name14,lastname14,January,11,99,BS Management,+639275434192,Female
name15,lastname15,June,6,98,BS Information Technology Entrepreneurship,+639172119497,Male
name16,lastname16,April,20,99,BS Legal Management,+639181855162,Male
name17,lastname17,January,3,97,BS Information Technology Entrepreneurship,+639271468146,Female
name18,lastname18,April,8,97,BS Management,+639275164280,Female
name19,lastname19,December,28,97,BS Information Technology Entrepreneurship,+639279586909,Male
name20,lastname20,March,10,97,BS Management Engineering,+639175149105,Male
name21,lastname21,July,13,99,BS Legal Management,+639279847499,Female
name22,lastname22,September,15,99,BS Information Technology Entrepreneurship,+639276993694,Male
name23,lastname23,April,15,97,BS Management,+639173172478,Male
name24,lastname24,October,1,97,BS Management Engineering,+639171593829,Male
name25,lastname25,May,6,97,BS Management Engineering,+639188986972,Male
name26,lastname26,December,5,99,BS Management Engineering,+639177964622,Male
name27,lastname27,March,4,97,BS Communications Technology Management,+639271387580,Female
name28,lastname28,November,10,00,BS Legal Management,+639171959244,Male
name29,lastname29,October,10,99,BS Legal Management,+639176433996,Female
name30,lastname30,May,28,99,BS Communications Technology Management,+639177583119,Male
name31,lastname31,April,6,99,BS Information Technology Entrepreneurship,+639186694265,Male
name32,lastname32,July,16,99,BS Management,+639177508539,Female
name33,lastname33,December,17,99,BS Information Technology Entrepreneurship,+639272369504,Male
name34,lastname34,October,4,99,BS Legal Management,+639174384447,Female
name35,lastname35,July,14,01,BS Information Technology Entrepreneurship,+639177736035,Male
name36,lastname36,December,11,98,BS Management,+639184554185,Male
name37,lastname37,February,2,00,BS Management,+639278899252,Female
name38,lastname38,August,25,01,BS Legal Management,+639278748083,Female
name39,lastname39,May,3,97,BS Management Engineering,+639278423053,Male
name40,lastname40,February,27,98,BS Legal Management,+639279231234,Male
name41,lastname41,November,16,99,BS Management,+639183814956,Male
name42,lastname42,September,24,98,BS Legal Management,+639186029278,Female
name43,lastname43,January,13,99,BS Management,+639185326748,Female
name44,lastname44,February,25,98,BS Information Technology Entrepreneurship,+639176541291,Male
name45,lastname45,January,27,97,BS Management Engineering,+639182441683,Female
name46,lastname46,December,24,98,BS Management Engineering,+639178181190,Female
name47,lastname47,August,23,99,BS Management,+639174686425,Male
name48,lastname48,April,13,99,BS Information Technology Entrepreneurship,+639186351688,Female
name49,lastname49,October,11,97,BS Legal Management,+639178211896,Male
name50,lastname50,March,25,01,BS Legal Management,+639279249506,Male
name51,lastname51,August,22,98,BS Information Technology Entrepreneurship,+639188542626,Female
name52,lastname52,March,21,99,BS Communications Technology Management,+639184389745,Female
name53,lastname53,December,15,00,BS Management,+639178938235,Male
name54,lastname54,July,10,98,BS Communications Technology Management,+639182165250,Female
name55,lastname55,May,8,98,BS Management Engineering,+639172571057,Female
name56,lastname56,September,9,98,BS Management Engineering,+639279495098,Male
name57,lastname57,May,9,01,BS Communications Technology Management,+639277666306,Female
name58,lastname58,April,6,97,BS Management Engineering,+639188518794,Female
name59,lastname59,April,24,98,BS Information Technology Entrepreneurship,+639179012860,Male
name60,lastname60,August,26,99,BS Information Technology Entrepreneurship,+639186815912,Male
name61,lastname61,September,8,98,BS Communications Technology Management,+639183401320,Female
name62,lastname62,December,7,00,BS Information Technology Entrepreneurship,+639275511326,Female
name63,lastname63,February,22,00,BS Management Engineering,+639189754142,Male
name64,lastname64,November,13,97,BS Information Technology Entrepreneurship,+639174661269,Female
name65,lastname65,March,23,97,BS Management Engineering,+639276271302,Female
name66,lastname66,September,24,97,BS Legal Management,+639175535101,Female
name67,lastname67,December,9,97,BS Communications Technology Management,+639174425313,Male
name68,lastname68,November,4,01,BS Management,+639277157133,Male
name69,lastname69,November,19,98,BS Communications Technology Management,+639174484860,Male
name70,lastname70,May,12,98,BS Legal Management,+639172551167,Female
name71,lastname71,August,19,99,BS Communications Technology Management,+639184613486,Female
name72,lastname72,December,1,99,BS Management,+639273477129,Male
name73,lastname73,June,21,98,BS Management Engineering,+639184046593,Male
name74,lastname74,October,25,97,BS Legal Management,+639277378051,Male
name75,lastname75,September,17,98,BS Information Technology Entrepreneurship,+639273487430,Male
name76,lastname76,February,2,97,BS Communications Technology Management,+639271884940,Female
name77,lastname77,May,19,00,BS Communications Technology Management,+639189613285,Male
name78,lastname78,September,15,00,BS Management,+639185105817,Female
name79,lastname79,December,23,00,BS Legal Management,+639276686229,Male
name80,lastname80,August,10,99,BS Communications Technology Management,+639272299686,Female
name81,lastname81,February,1,97,BS Communications Technology Management,+639188736019,Male
name82,lastname82,November,22,97,BS Communications Technology Management,+639183767811,Male
name83,lastname83,June,18,00,BS Management Engineering,+639271184679,Female
name84,lastname84,February,28,99,BS Information Technology Entrepreneurship,+639172362591,Female
name85,lastname85,January,10,99,BS Legal Management,+639271281225,Female
name86,lastname86,November,21,98,BS Management,+639185876655,Male
name87,lastname87,August,15,98,BS Information Technology Entrepreneurship,+639189458163,Female
